INCIDENT_NUMBER,SHOOTING_TYPE,INCIDENT_DATE,INCIDENT_YEAR,INCIDENT_LOCATION,CITY,STATE,ZIP,REPORTING_DISTRICT,GEO_LOCATION,HANDLING_UNIT_ID,HANDLING_UNIT_NAME,HIT_SHOOTING,NON_HIT_SHOOTING,ANIMAL_SHOOTING,OTHER_SHOOTING,UNINTENTIONAL_DISCHARGE,WARNING_SHOT,APPROX_LATITUDE,APPROX_LONGITUDE,ObjectId
1000350,2,2011/04/11 23:20:00+00,2011,1100 DOHENY DRIVE,WEST HOLLYWOOD,CA,90069,978,"1100 DOHENY DRIVE
WEST HOLLYWOOD, CA 90069
(34.090586, -118.38975)",WHD,WEST HOLLYWOOD STN,,1,,,,,34.090586,-118.38975,615
1000246,5,2014/05/20 11:40:00+00,2014,200 S. WALNUT AVEUNE,SAN DIMAS,CA,91773,815,"200 S. WALNUT AVEUNE
SAN DIMAS, CA 91773
(34.10519525734994, -117.80268029416678)",ATD,ALTADENA STN,,,,,1,,34.105195257349939,-117.802680294166779,616
1001324,5,2017/11/06 21:58:00+00,2017,21900 SOUTH MARTIN STREET,CARSON,CA,90745,1628,"21900 SOUTH MARTIN STREET
CARSON, CA 90745
(33.831618, -118.27823)",CSN,CARSON STN,,,,,1,,33.831618,-118.27823,617
1000453,2,2013/08/26 03:30:00+00,2013,1200 123RD STREET,LOS ANGELES,CA,90044,378,"1200 123RD STREET
LOS ANGELES, CA 90044
(33.921184, -118.296362)",SLA,SOUTH LOS ANGELES STATION,,1,,,,,33.921184,-118.296362,618
1000518,1,2015/03/13 17:25:00+00,2015,900 WEST 43RD STREET,LOS ANGELES,CA,90037,371,"900 WEST 43RD STREET
LOS ANGELES, CA 90037
(34.00549, -118.289087)",SLA,SOUTH LOS ANGELES STATION,1,,,,,,34.00549,-118.289087,619
1001382,5,2018/01/19 21:23:00+00,2018,400 BAUCHET STREET,LOS ANGELES,CA,90012,4300,"400 BAUCHET STREET
LOS ANGELES, CA 90012
(34.061687, -118.236297)",CST,COURT SERVICES TRANSPORTATION,,,,,1,,34.061687,-118.236297,620
1000089,3,2012/06/25 14:45:00+00,2012,10400 VULTEE AVENUE,DOWNEY,CA,90241,3613,"10400 VULTEE AVENUE
DOWNEY, CA 90241
(33.943474, -118.118484)",NARCO,NARCOTICS BUREAU,,,1,,,,33.943474,-118.118484,621
1002016,1,2020/10/15 04:01:00+00,2020,1000 WEST 108TH STREET,LOS ANGELES,CA,90044,375,"1000 WEST 108TH STREET
LOS ANGELES, CA 90044
(33.938177, -118.293998)",SLA,SOUTH LOS ANGELES STATION,1,,,,,,33.938177,-118.293998,622
1000329,2,2010/11/11 17:35:00+00,2010,300 CLAUDE STREET,COMPTON,CA,90220,2836,"300 CLAUDE STREET
COMPTON, CA 90220
(33.886113, -118.225869)",OSS,OPERATION SAFE STREETS BUREAU,,1,,,,,33.886113,-118.225869,623
1000268,5,2014/12/04 08:20:00+00,2014,15500 FAITH STREET,FONTANA,CA,92336,3801,"15500 FAITH STREET
FONTANA, CA 92336
(34.126078, -117.466017)",TRAP,TRAP,,,,,1,,34.126078,-117.466017,624
1000144,3,2014/04/03 14:31:00+00,2014,45000 15TH STREET WEST,LANCASTER,CA,93534,1125,"45000 15TH STREET WEST
LANCASTER, CA 93534
(34.701165, -118.15703)",LCS,LANCASTER STN,,,1,,,,34.701165,-118.15703,625
1001989,5,2020/08/20 20:05:00+00,2020,23700 AUTO CENTER COURT,SANTA CLARITA,CA,91355,644,"23700 AUTO CENTER COURT
SANTA CLARITA, CA 91355
(34.422226, -118.551584)",SCV,SANTA CLARITA VALLEY STN,,,,,1,,34.422226,-118.551584,626
1000511,2,2015/01/18 02:07:00+00,2015,PENNSYLVANIA AVENUE AND 246TH PLACE,LOMITA,CA,90717,1711,"PENNSYLVANIA AVENUE AND 246TH PLACE
LOMITA, CA 90717
(33.80162718333326, -118.32536386197714)",LMT,LOMITA STN,,1,,,,,33.801627183333257,-118.325363861977136,627
1001342,1,2017/12/10 21:26:00+00,2017,11900 DROXFORD STREET,ARTESIA,CA,90701,1349,"11900 DROXFORD STREET
ARTESIA, CA 90701
(33.862836, -118.076735)",LKD,LAKEWOOD STN,1,,,,,,33.862836,-118.076735,628
1001166,2,2017/06/26 08:30:00+00,2017,6000 ROSEMEAD BLVD,PICO RIVERA,CA,90660,1515,"6000 ROSEMEAD BLVD
PICO RIVERA, CA 90660
(33.990752, -118.091626)",PRV,PICO RIVERA STN,,1,,,,,33.990752,-118.091626,629
1000111,3,2012/12/08 12:05:00+00,2012,7300 WALNUT AVENUE,PARAMOUNT,CA,90723,1361,"7300 WALNUT AVENUE
PARAMOUNT, CA 90723
(33.914905, -118.171688)",LKD,LAKEWOOD STN,,,1,,,,33.914905,-118.171688,630
1000030,3,2010/07/07 06:30:00+00,2010,17700 S. AVALON BOULEVARD,CARSON,CA,90745,1610,"17700 S. AVALON BOULEVARD
CARSON, CA 90745
(33.868098085476745, -118.2657716146691)",CSN,CARSON STN,,,1,,,,33.868098085476744,-118.26577161466911,631
1000219,6,2013/10/12 20:10:00+00,2013,WILLOWBROOKE LANE AND GREENLEAF COURT,STEVENSON RANCH,CA,91381,661,"WILLOWBROOKE LANE AND GREENLEAF COURT
STEVENSON RANCH, CA 91381
(34.408357949934285, -118.58691800957712)",CSW,COURT SERVICES TRANSPORTATION,,,,,,1,34.408357949934285,-118.586918009577112,632
1002088,1,2021/03/31 21:00:00+00,2021,5100 LIVE OAK STREET,CUDAHY,CA,90201,262,"5100 LIVE OAK STREET
CUDAHY, CA 90201
(33.966589, -118.174537)",ELA,EAST LA STN,1,,,,,,33.966589,-118.174537,633
1002072,5,2021/02/25 11:25:00+00,2021,29300 THE OLD ROAD,CASTAIC,CA,91384,5640,"29300 THE OLD ROAD
CASTAIC, CA 91384
(34.451675, -118.609802)",NCF,NORTH CO. CORRECTL FAC,,,,,1,,34.451675,-118.609802,634
1000012,3,2011/01/19 19:30:00+00,2011,2200 CALIFORNIA AVENUE,MONROVIA,CA,91016,582,"2200 CALIFORNIA AVENUE
MONROVIA, CA 91016
(34.12476, -117.996714)",TEM,TEMPLE CITY STN,,,1,,,,34.12476,-117.996714,635
1001168,1,2017/07/04 13:50:00+00,2017,1600 EAST AVENUE Q-10,PALMDALE,CA,93550,2610,"1600 EAST AVENUE Q-10
PALMDALE, CA 93550
(34.577415, -118.098388)",PLM,PALMDALE STN,1,,,,,,34.577415,-118.098388,636
1000798,1,2016/06/11 14:30:00+00,2016,5200 CORONA AVENUE,MAYWOOD,CA,90270,250,"5200 CORONA AVENUE
MAYWOOD, CA 90270
(33.994163, -118.193314)",ELA,EAST LA STN,1,,,,,,33.994163,-118.193314,637
1000656,1,2015/12/01 18:35:00+00,2015,12600 PIONEER BOULEVARD,NORWALK,CA,90650,453,"12600 PIONEER BOULEVARD
NORWALK, CA 90650
(33.916487, -118.081872)",OSS,OPERATION SAFE STREETS BUREAU,1,,,,,,33.916487,-118.081872,638
1001927,1,2020/05/30 03:05:00+00,2020,3100 EAST IMPERIAL HIGHWAY,LYNWOOD,CA,90262,2111,"3100 EAST IMPERIAL HIGHWAY
LYNWOOD, CA 90262
(33.930447, -118.216231)",CEN,CENTURY STN,1,,,,,,33.930447,-118.216231,639
1000048,3,2010/01/14 10:10:00+00,2010,900 BELSON STREET,TORRANCE,CA,90502,1697,"900 BELSON STREET
TORRANCE, CA 90502
(33.817403, -118.290348)",CSN,CARSON STN,,,1,,,,33.817403,-118.290348,640
1000390,3,2015/08/25 05:41:00+00,2015,MANVILLE STREET AND WILLOWBROOK AVENUE,COMPTON,CA,90220,2837,"MANVILLE STREET AND WILLOWBROOK AVENUE
COMPTON, CA 90220
(33.87045500144406, -118.21999300989101)",CPT,COMPTON STATION,,,1,,,,33.870455001444056,-118.219993009891015,641
1000459,2,2013/09/22 16:25:00+00,2013,7300 ALONDRA BLVD,PARAMOUNT,CA,90723,1367,"7300 ALONDRA BLVD
PARAMOUNT, CA 90723
(33.889076, -118.171578)",LKD,LAKEWOOD STN,,1,,,,,33.889076,-118.171578,642
1000208,5,2012/04/19 13:34:00+00,2012,700 E. AVENUE Q,PALMDALE,CA,93550,2610,"700 E. AVENUE Q
PALMDALE, CA 93550
(34.587246, -118.116846)",PLM,PALMDALE STN,,,,,1,,34.587246,-118.116846,643
1000455,1,2013/02/01 08:00:00+00,2013,300 N LEMON AVENUE,WALNUT,CA,91789,2914,"300 N LEMON AVENUE
WALNUT, CA 91789
(34.018718, -117.865087)",WAL,WALNUT/SAN DIMAS STN,1,,,,,,34.018718,-117.865087,644
1001037,1,2017/02/13 14:45:00+00,2017,"7300 VAN NUYS BLVD.,",VAN NUYS,CA,91405,6884,"7300 VAN NUYS BLVD.,
VAN NUYS, CA 91405
(34.204816, -118.448737)",TBN,TRANSIT BUREAU NORTH,1,,,,,,34.204816,-118.448737,645
1000199,5,2011/02/24 00:05:00+00,2011,500 W. LANCASTER BOULEVARD,LANCASTER,CA,93534,1101,"500 W. LANCASTER BOULEVARD
LANCASTER, CA 93534
(34.698335, -118.136932)",LCS,LANCASTER STN,,,,,1,,34.698335,-118.136932,646
1001036,5,2017/02/13 21:50:00+00,2017,24700 MAGIC MOUNTAIN PARKWAY,VALENCIA,CA,91355,,"24700 MAGIC MOUNTAIN PARKWAY
VALENCIA, CA 91355
(34.42193, -118.569614)",WST,COURT SERVICES WEST,,,,,1,,34.42193,-118.569614,647
1001650,3,2019/01/31 07:30:00+00,2019,4400 GONDAR AVENUE,LAKEWOOD,CA,90713,1324,"4400 GONDAR AVENUE
LAKEWOOD, CA 90713
(33.839486, -118.113111)",OSS,OPERATION SAFE STREETS BUREAU,,,1,,,,33.839486,-118.113111,648
1001330,5,2017/11/06 05:55:00+00,2017,5500 RIMPAU BOULEVARD,LOS ANGELES,CA,90043,2768,"5500 RIMPAU BOULEVARD
LOS ANGELES, CA 90043
(33.990607, -118.339915)",MAR,MARINA DEL REY STN,,,,,1,,33.990607,-118.339915,649
1000485,1,2014/04/25 23:06:00+00,2014,3800 56TH STREET,MAYWOOD,CA,90270,250,"3800 56TH STREET
MAYWOOD, CA 90270
(33.991214, -118.196155)",ELA,EAST LA STN,1,,,,,,33.991214,-118.196155,650
1000140,3,2013/12/06 06:00:00+00,2013,44200 CEDAR AVENUE,LANCASTER,CA,93534,1123,"44200 CEDAR AVENUE
LANCASTER, CA 93534
(34.686158, -118.13813)",OSS,OPERATION SAFE STREETS BUREAU,,,1,,,,34.686158,-118.13813,651
1000402,1,2012/05/23 10:48:00+00,2012,1000 W STOCKWELL STREET,COMPTON,CA,90222,2812,"1000 W STOCKWELL STREET
COMPTON, CA 90222
(33.909089, -118.243098)",TST,TRANSPORTATION BUREAU,1,,,,,,33.909089,-118.243098,652
1000021,3,2010/04/28 08:45:00+00,2010,6900 RIVERRUN COURT,MIRA LOMA,CA,91752,599,"6900 RIVERRUN COURT
MIRA LOMA, CA 91752
(33.962638, -117.549838)",TEM,TEMPLE CITY STN,,,1,,,,33.962638,-117.549838,653
1000107,3,2012/11/06 21:55:00+00,2012,2700 E. DEL AMO BOULEVARD,COMPTON,CA,90221,1692,"2700 E. DEL AMO BOULEVARD
COMPTON, CA 90221
(33.846581, -118.214995)",CSN,CARSON STATION,,,1,,,,33.846581,-118.214995,654
1000915,5,2016/11/06 08:25:00+00,2016,12200 S. ATLANTIC AV,LYNWOOD,CA,92656,2117,"12200 S. ATLANTIC AV
LYNWOOD, CA 92656
(33.910909, -118.191757)",CEN,CENTURY STN,,,,,1,,33.910909,-118.191757,655
1000094,3,2012/07/26 10:08:00+00,2012,4900 W. 142ND STREET,HAWTHORNE,CA,90250,2199,"4900 W. 142ND STREET
HAWTHORNE, CA 90250
(33.902814, -118.364146)",CEN,CENTURY STN,,,1,,,,33.902814,-118.364146,656
1000083,3,2012/05/05 03:52:00+00,2012,1300 S. SUNOL DRIVE,EAST LOS ANGELES,CA,90022,278,"1300 S. SUNOL DRIVE
EAST LOS ANGELES, CA 90022
(34.016555, -118.178948)",ELA,EAST LA STN,,,1,,,,34.016555,-118.178948,657
1000090,3,2012/06/29 23:30:00+00,2012,21900 S. VERA STREET,CARSON,CA,90745,1620,"21900 S. VERA STREET
CARSON, CA 90745
(33.82919365887016, -118.24848308734505)",CSN,CARSON STATION,,,1,,,,33.829193658870158,-118.248483087345044,658
1000528,1,2015/06/01 00:00:00+00,2015,ORANGE LINE BUSWAY AND DENSMORE AVENUE,VAN NUYS,CA,91401,6713,"ORANGE LINE BUSWAY AND DENSMORE AVENUE
VAN NUYS, CA 91401
(34.186215, -118.477398)",TSB,TRANSIT SERVICES BUREAU,1,,,,,,34.186215,-118.477398,659
1001906,1,2020/04/03 11:51:00+00,2020,14400 ERWIN STREET MALL,VAN NUYS,CA,91401,4481,"14400 ERWIN STREET MALL
VAN NUYS, CA 91401
(34.182644, -118.448657)",WST,COURT SERVICES WEST,1,,,,,,34.182644,-118.448657,660
1000262,5,2014/10/28 09:00:00+00,2014,6300 ALBANY STREET,HUNTINGTON PARK,CA,90255,2405,"6300 ALBANY STREET
HUNTINGTON PARK, CA 90255
(33.983552, -118.232567)",COP,COPS BUREAU,,,,,1,,33.983552,-118.232567,661
1002013,1,2020/10/02 05:07:00+00,2020,1300 WEST IMPERIAL HIGHWAY,LOS ANGELES,CA,90059,378,"1300 WEST IMPERIAL HIGHWAY
LOS ANGELES, CA 90059
(33.929471, -118.251735)",SLA,SOUTH LOS ANGELES STATION,1,,,,,,33.929471,-118.251735,662
1001946,1,2020/07/30 14:59:00+00,2020,44800 FENHOLD STREET,LANCASTER,CA,93535,1135,"44800 FENHOLD STREET
LANCASTER, CA 93535
(34.697772, -118.104354)",LCS,LANCASTER STN,1,,,,,,34.697772,-118.104354,663
1000049,3,2010/10/25 11:10:00+00,2010,11800 RAYMOND AVENUE,LOS ANGELES,CA,90044,371,"11800 RAYMOND AVENUE
LOS ANGELES, CA 90044
(33.925707, -118.300331)",SLA,SOUTH LOS ANGELES STATION,,,1,,,,33.925707,-118.300331,664
1001931,1,2020/06/12 22:30:00+00,2020,38300 20TH STREET EAST,PALMDALE,CA,93550,2608,"38300 20TH STREET EAST
PALMDALE, CA 93550
(34.580034, -118.092271)",PLM,PALMDALE STN,1,,,,,,34.580034,-118.092271,665
1000456,1,2013/09/10 01:30:00+00,2013,4000 ALMANZA LANE AND MILLER AVENUE,EAST LOS ANGELES,CA,90063,272,"4000 ALMANZA LANE AND MILLER AVENUE
EAST LOS ANGELES, CA 90063
(34.05272684942028, -118.1783855814234)",ELA,EAST LA STN,1,,,,,,34.052726849420284,-118.178385581423397,666
1000524,1,2015/05/07 16:30:00+00,2015,13200 PALM PLACE,CERRITOS,CA,90703,2318,"13200 PALM PLACE
CERRITOS, CA 90703
(33.875823, -118.050441)",CER,CERRITOS STN,1,,,,,,33.875823,-118.050441,667
1000050,3,2010/10/30 22:22:00+00,2010,1900 E. 71ST STREET,LOS ANGELES,CA,90001,2171,"1900 E. 71ST STREET
LOS ANGELES, CA 90001
(33.975504, -118.238793)",CEN,CENTURY STN,,,1,,,,33.975504,-118.238793,668
1000029,3,2010/06/15 19:30:00+00,2010,2200 CYPRESS STREET,LANCASTER,CA,93535,1137,"2200 CYPRESS STREET
LANCASTER, CA 93535
(34.690242, -118.090232)",LCS,LANCASTER STN,,,1,,,,34.690242,-118.090232,669
1000412,1,2012/08/16 12:18:00+00,2012,1300 PALMER STREET,COMPTON,CA,90221,2824,"1300 PALMER STREET
COMPTON, CA 90221
(33.898364, -118.209512)",COM,COMPTON STN,1,,,,,,33.898364,-118.209512,670
1000479,1,2014/02/14 12:20:00+00,2014,1100 E. PACIFIC COAST HIGHWAY,LONG BEACH,CA,90806,1399,"1100 E. PACIFIC COAST HIGHWAY
LONG BEACH, CA 90806
(33.78985, -118.178393)",MCB,MAJOR CRIMES BUREAU,1,,,,,,33.78985,-118.178393,671
1001932,1,2020/06/11 05:22:00+00,2020,600 WEST AVENUE H-12,LANCASTER,CA,93534,1121,"600 WEST AVENUE H-12
LANCASTER, CA 93534
(34.707956, -118.141874)",LCS,LANCASTER STN,1,,,,,,34.707956,-118.141874,672
1000918,1,2016/11/22 09:12:00+00,2016,13500 BEACH BLVD,LA MIRADA,CA,92833,468,"13500 BEACH BLVD
LA MIRADA, CA 92833
(33.901854, -117.983398)",SEB,SPECIAL ENFORCEMENT BUR,1,,,,,,33.901854,-117.983398,673
1000062,3,2011/08/02 14:15:00+00,2011,4200 W. LANCASTER BOULEVARD,LANCASTER,CA,93536,1127,"4200 W. LANCASTER BOULEVARD
LANCASTER, CA 93536
(34.696813, -118.205367)",COP,COPS BUREAU,,,1,,,,34.696813,-118.205367,674
1000204,5,2011/10/29 20:00:00+00,2011,700 N. SAN VICENTE BOULEVARD,WEST HOLLYWOOD,CA,90069,972,"700 N. SAN VICENTE BOULEVARD
WEST HOLLYWOOD, CA 90069
(34.083072, -118.3838)",WHD,WEST HOLLYWOOD STN,,,,,1,,34.083072,-118.3838,675
1001384,3,2018/01/22 22:37:00+00,2018,800 SHADYDALE AVENUE,WEST VALINDA,CA,91744,,"800 SHADYDALE AVENUE
WEST VALINDA, CA 91744
(34.04581, -117.963675)",IND,INDUSTRY STN,,,1,,,,34.04581,-117.963675,676
1001935,1,2020/06/28 22:49:00+00,2020,15900 ATKINSON AVENUE,GARDENA,CA,,6861,"15900 ATKINSON AVENUE
GARDENA, CA
(33.88584, -118.325085)",TSB,TRANSIT SERVICES BUREAU,1,,,,,,33.88584,-118.325085,677
1000895,1,2016/10/05 12:30:00+00,2016,3000 WEST AVENUE K,LANCASTER,CA,93536,1121,"3000 WEST AVENUE K
LANCASTER, CA 93536
(34.674942, -118.185427)",LCS,LANCASTER STN,1,,,,,,34.674942,-118.185427,678
1000145,3,2014/08/07 10:00:00+00,2014,1300 KINGS ROAD,PALMDALE,CA,93550,2612,"1300 KINGS ROAD
PALMDALE, CA 93550
(34.600541, -118.154853)",PLM,PALMDALE STN,,,1,,,,34.600541,-118.154853,679
1000651,1,2015/10/02 23:30:00+00,2015,13400 CROSSROADS PARKWAY NORTH,CITY OF INDUSTRY,CA,91746,1410,"13400 CROSSROADS PARKWAY NORTH
CITY OF INDUSTRY, CA 91746
(34.030814, -118.006742)",IND,INDUSTRY STN,1,,,,,,34.030814,-118.006742,680
1001404,1,2018/02/06 22:00:00+00,2018,5000 EAST 3RD STREET,EAST LOS ANGELES,CA,90022,282,"5000 EAST 3RD STREET
EAST LOS ANGELES, CA 90022
(34.033441, -118.161978)",ELA,EAST LA STN,1,,,,,,34.033441,-118.161978,681
1000215,5,2012/09/28 16:40:00+00,2012,200 S. WALNUT AVENUE,SAN DIMAS,CA,91773,815,"200 S. WALNUT AVENUE
SAN DIMAS, CA 91773
(34.105197, -117.802773)",SDM,SAN DIMAS STN,,,,,1,,34.105197,-117.802773,682
1000809,3,2016/07/25 00:50:00+00,2016,45900 247TH EAST STREET EAST,LANCASTER,CA,93535,1194,"45900 247TH EAST STREET EAST
LANCASTER, CA 93535
(34.718994, -117.688023)",LCS,LANCASTER STN,,,1,,,,34.718994,-117.688023,683
1000516,1,2015/03/03 15:30:00+00,2015,12400 215TH STREET,LAKEWOOD,CA,90711,1328,"12400 215TH STREET
LAKEWOOD, CA 90711
(33.833696, -118.067747)",LKD,LAKEWOOD STN,1,,,,,,33.833696,-118.067747,684
1000457,1,2013/09/14 22:14:00+00,2013,"1400 
EAST GAGE AVENUE",LOS ANGELES,CA,90001,2170,"1400 EAST GAGE AVENUE
LOS ANGELES, CA 90001
(33.982041, -118.249885)",CEN,CENTURY STN,1,,,,,,33.982041,-118.249885,685
1000374,1,2012/01/05 14:47:00+00,2012,8100 CENTURY BLVD,PARAMOUNT,CA,90723,1365,"8100 CENTURY BLVD
PARAMOUNT, CA 90723
(33.909396, -118.158242)",LKD,LAKEWOOD STN,1,,,,,,33.909396,-118.158242,686
1001847,3,2019/10/10 15:30:00+00,2019,9300 EAST AVENUE Q-4,PALMDALE,CA,93591,,"9300 EAST AVENUE Q-4
PALMDALE, CA 93591
(34.583448, -117.960481)",PLM,PALMDALE STN,,,1,,,,34.583448,-117.960481,687
1000228,5,2013/06/05 05:45:00+00,2013,8300 GARDENDALE STREET,DOWNEY,CA,90242,1399,"8300 GARDENDALE STREET
DOWNEY, CA 90242
(33.914708, -118.151346)",LKD,LAKEWOOD STN,,,,,1,,33.914708,-118.151346,688
1000006,3,2010/11/16 12:54:00+00,2010,3200 CABANA LANE,LANCASTER,CA,93536,1192,"3200 CABANA LANE
LANCASTER, CA 93536
(34.670523, -118.188021)",LCS,LANCASTER STN,,,1,,,,34.670523,-118.188021,689
1000451,1,2013/07/24 23:38:00+00,2013,1300 SOUTH LONG BEACH BLVD,COMPTON,CA,90221,2844,"1300 SOUTH LONG BEACH BLVD
COMPTON, CA 90221
(33.884753, -118.20588)",COM,COMPTON STN,1,,,,,,33.884753,-118.20588,690
